BUSINESS RULE THRESHOLDS,,,,Generated from: segment_rules_detailed.json

Instructions:,1. Add rows for any forced splits you want,2. Use exact feature names from 'Available_Features' section below,3. Specify threshold value,4. Provide business reason and regulatory flag

Feature_Name,Threshold_Value,Business_Reason,Regulatory_Requirement,Priority
int_rate,15.0,Company policy threshold for subprime,No,High
fico_range_high,650,Prime/subprime regulatory cutoff,Yes,High
annual_inc,60000,High-income segment for preferential pricing,No,Medium

CURRENT THRESHOLDS (for reference):
Feature,Existing_Thresholds
annual_inc,"43336.90, 58115.50, 61077.00, 61956.50, 70105.00"
dti,14.78
fico_range_high,"686.50, 721.50"
fico_range_low,"697.50, 702.50"
inq_last_6mths,"0.50, 1.50"
installment,282.07
int_rate,"6.86, 7.86, 10.58, 12.98, 13.56, 13.59, 13.60, 14.01, 16.14, 16.97, 22.37"
loan_amnt,10012.50

AVAILABLE FEATURES:
Feature_Name,Description
int_rate,Interest rate (%)
fico_range_high,FICO score (high range)
fico_range_low,FICO score (low range)
annual_inc,Annual income ($)
dti,Debt-to-income ratio (%)
loan_amnt,Loan amount ($)
installment,Monthly installment ($)
inq_last_6mths,Credit inquiries (last 6 months)
